numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
1046,914,132,536,510,473,441,63,69,19,1,5.04,0.02,0.03,-0.08,2,-2,2,2,
1044,912,132,452,592,395,517,57,75,19,1,7.16,0.23,0.18,0.6,4,-2,2,4,
1044,912,132,433,611,379,533,54,78,20,1,7.68,0.31,0.23,0.86,5,-2,2,5,
1044,912,132,396,648,352,560,44,88,20,1,8.74,0.43,0.24,1.74,10,-2,2,10,
1045,913,132,644,401,570,343,74,58,19,1,6.86,-0.21,-0.16,-0.62,2,-4,4,2,
1042,910,132,562,480,493,417,69,63,19,1,9.4,-0.01,-0.04,0.15,4,-4,4,4,
1042,910,132,549,493,483,427,66,66,20,1,10.01,0.1,0.05,0.43,5,-4,4,5,
1042,910,132,517,525,461,449,56,76,20,1,11.26,0.28,0.12,1.39,10,-4,4,10,
1042,911,131,675,367,593,318,82,49,20,1,7.45,-0.23,-0.18,-0.61,2,-5,5,2,
1039,908,131,589,450,514,394,75,56,20,1,10.09,-0.05,-0.07,0.1,4,-5,5,4,
1039,908,131,575,464,503,405,72,59,20,1,10.72,0.07,0.02,0.4,5,-5,5,5,
1039,908,131,543,496,482,426,61,70,20,1,12.06,0.26,0.11,1.36,10,-5,5,10,
1041,910,131,723,318,634,276,89,42,20,1,8.88,-0.3,-0.09,-1.78,2,-10,10,2,
1038,907,131,643,395,559,348,84,47,20,1,11.79,-0.08,0.06,-1.05,4,-10,10,4,
1038,907,131,626,412,546,361,80,51,20,1,12.47,0.01,0.14,-0.93,5,-10,10,5,
1038,907,131,596,442,526,381,70,61,20,1,13.94,0.23,0.25,0.08,10,-10,10,10,
