numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
3885,2617,1268,1822,2063,1241,1376,581,687,39,1,2.56,0.01,0.11,-0.22,28.13,-28.16,2,2,
3880,2612,1268,1403,2477,912,1700,491,777,81,1,4.18,0.02,0.11,-0.18,28.13,-28.16,2,4,
3878,2610,1268,1330,2548,859,1751,471,797,81,1,4.85,0.02,0.13,-0.19,28.13,-28.16,2,5,
3874,2607,1267,1243,2631,789,1818,454,813,143,1,6.71,0.01,0.08,-0.13,28.13,-28.16,2,10,
3882,2611,1271,2496,1386,1728,883,768,503,115,1,4.62,0.11,0.25,-0.16,28.13,-28.16,4,2,
3872,2602,1270,1843,2029,1269,1333,574,696,126,1,8.27,0.11,0.26,-0.19,28.13,-28.16,4,4,
3872,2602,1270,1629,2243,1119,1483,510,760,192,1,10.02,0.09,0.25,-0.24,28.13,-28.16,4,5,
3854,2586,1268,1169,2685,783,1803,386,882,192,1,16.61,0.15,0.36,-0.27,28.13,-28.16,4,10,
3880,2611,1269,2700,1180,1865,746,835,434,119,1,5.67,0.17,0.29,-0.08,28.13,-28.16,5,2,
3869,2601,1268,2114,1755,1456,1145,658,610,178,1,10.23,0.22,0.36,-0.06,28.13,-28.16,5,4,
3867,2600,1267,1870,1997,1292,1308,578,689,193,1,12.5,0.2,0.34,-0.1,28.13,-28.16,5,5,
3844,2580,1264,1284,2560,880,1700,404,860,256,1,21.55,0.29,0.53,-0.21,28.13,-28.16,5,10,
3871,2605,1266,3233,638,2237,368,996,270,237,1,9.9,0.38,0.62,-0.1,28.13,-29,10,2,
3851,2590,1261,2810,1041,1962,628,848,413,289,1,18.66,0.53,0.88,-0.18,28.13,-29,10,4,
3843,2585,1258,2626,1217,1847,738,779,479,289,1,23.06,0.59,1.02,-0.28,28.13,-29,10,5,
3787,2540,1247,2023,1764,1470,1070,553,694,451,1,42.59,1.17,1.97,-0.47,28.13,-36.97,10,10,
