numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target
2885,2544,341,1696,1189,1511,1033,185,156,16,1,4.53,0.13,0.23,-0.61,28.13,-23.51,2,2
2880,2539,341,1407,1473,1235,1304,172,169,16,1,6.41,0.15,0.23,-0.48,28.13,-23.51,2,4
2880,2539,341,1368,1512,1198,1341,170,171,16,1,6.9,0.14,0.22,-0.48,28.13,-23.51,2,5
2880,2539,341,1350,1530,1182,1357,168,173,16,1,7.7,0.13,0.18,-0.29,28.13,-23.51,2,10
2880,2538,342,2096,784,1857,681,239,103,16,1,6.42,0.36,0.45,-0.27,28.13,-20.79,4,2
2873,2531,342,1720,1153,1528,1003,192,150,16,1,9.47,0.4,0.47,-0.18,28.13,-20.79,4,4
2873,2531,342,1627,1246,1449,1082,178,164,16,1,10.42,0.4,0.49,-0.23,28.13,-21.69,4,5
2872,2530,342,1517,1355,1354,1176,163,179,16,1,12.25,0.46,0.49,0.3,28.13,-21.69,4,10
2879,2538,341,2155,724,1901,637,254,87,16,1,6.77,0.43,0.51,-0.18,28.13,-24.81,5,2
2872,2531,341,1795,1077,1585,946,210,131,16,1,10.02,0.44,0.52,-0.19,28.13,-24.81,5,4
2872,2531,341,1693,1179,1501,1030,192,149,16,1,11.07,0.44,0.53,-0.24,28.13,-24.81,5,5
2870,2529,341,1542,1328,1377,1152,165,176,16,1,13.18,0.48,0.52,0.2,28.13,-24.81,5,10
2879,2538,341,2211,668,1937,601,274,67,16,1,7.23,0.51,0.6,-0.16,28.13,-49.18,10,2
2872,2531,341,1875,997,1629,902,246,95,16,1,10.74,0.56,0.66,-0.19,28.13,-49.18,10,4
2872,2531,341,1788,1084,1556,975,232,109,16,1,11.9,0.6,0.72,-0.26,28.13,-49.18,10,5
2869,2528,341,1638,1231,1445,1083,193,148,16,1,14.36,0.68,0.75,0.15,28.13,-49.18,10,10
