numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
2868,2531,337,1396,1472,1249,1282,147,190,5,1,2.02,0.01,0.12,-0.8,30.48,-28.16,2,2,
2865,2528,337,1287,1578,1148,1380,139,198,5,1,2.43,-0,0.09,-0.71,30.48,-28.16,2,4,
2864,2527,337,1279,1585,1142,1385,137,200,5,1,2.52,-0.01,0.09,-0.71,30.48,-28.16,2,5,
2864,2527,337,1272,1592,1137,1390,135,202,5,1,2.63,-0.02,0.06,-0.62,30.48,-28.16,2,10,
2866,2528,338,1624,1242,1440,1088,184,154,5,1,2.54,0.03,0.13,-0.76,30.48,-28.16,4,2,
2859,2522,337,1449,1410,1295,1227,154,183,5,1,3.08,0.02,0.11,-0.62,30.48,-28.16,4,4,
2859,2522,337,1426,1433,1278,1244,148,189,5,1,3.21,0,0.08,-0.58,30.48,-28.16,4,5,
2859,2522,337,1400,1459,1260,1262,140,197,5,1,3.41,0.01,0.04,-0.25,30.48,-28.16,4,10,
2865,2528,337,1667,1198,1464,1064,203,134,5,1,2.66,0.06,0.15,-0.59,30.48,-28.16,5,2,
2858,2522,336,1497,1361,1324,1198,173,163,5,1,3.23,0.07,0.13,-0.38,30.48,-28.16,5,4,
2858,2522,336,1469,1389,1305,1217,164,172,5,1,3.38,0.05,0.1,-0.31,30.48,-28.16,5,5,
2857,2521,336,1434,1423,1282,1239,152,184,5,1,3.6,0.05,0.05,-0.01,30.48,-28.16,5,10,
2864,2528,336,1714,1150,1480,1048,234,102,5,1,2.87,0.08,0.14,-0.38,30.48,-28.16,10,2,
2856,2521,335,1545,1311,1341,1180,204,131,5,1,3.47,0.08,0.12,-0.21,30.48,-28.16,10,4,
2856,2521,335,1522,1334,1326,1195,196,139,5,1,3.63,0.07,0.1,-0.1,30.48,-28.16,10,5,
2855,2520,335,1481,1374,1302,1218,179,156,5,1,3.88,0.09,0.05,0.4,30.48,-28.16,10,10,
